Level,Source,Topic
school-districts,ccd,directory
school-districts,ccd,enrollment
school-districts,ccd,finance
school-districts,edfacts,assessments
school-districts,edfacts,grad-rates
school-districts,saipe,NA
schools,crdc,algebra1
schools,crdc,ap-exams
schools,crdc,ap-ib-enrollment
schools,crdc,chronic-absenteeism
schools,crdc,credit-recovery
schools,crdc,discipline-instances
schools,crdc,discipline
schools,crdc,dual-enrollment
schools,crdc,harassment-or-bullying
schools,crdc,math-and-science
schools,crdc,offenses
schools,crdc,offerings
schools,crdc,restraint-and-seclusion
schools,crdc,retention
schools,crdc,sat-act-participation
schools,crdc,school-finance
schools,crdc,suspensions-days
schools,crdc,teachers-staff
schools,edfacts,assessments
schools,edfacts,grad-rates
schools,meps,NA